NDVI_1,LAI_1
0.50816,1.14569
0.52355,1.54052
0.56806,1.54192
0.16387,-0.03954
0.64287,1.85452
0.6391,2.37765
0.03026,-0.0901
0.04459,0.08048
0.26202,0.1821
0.61042,2.04527
0.63501,2.07644
0.03922,0.10401
0.55115,1.64218
0.30804,0.35066
0.7526,2.67103
0.63296,1.92917
0.38971,0.78247
0.44652,1.23539
0.54745,1.58278
0.37764,0.61175
0.12903,-0.04262
0.4287,1.16237
0.04281,0.10693
0.26234,0.58024
0.65083,2.63696
0.49188,1.28895
0.41549,0.81894
0.62332,1.86963
0.03803,0.09978
0.65835,2.71156
0.35953,0.8031
0.03439,0.07519
0.3517,0.53968
0.43161,1.01527
0.3993,1.04879
0.59705,1.98732
0.08849,-0.04062
0.23886,0.17684
0.05104,0.10748
0.62822,2.08118
0.181,0.12629
0.62045,1.33391
0.59159,1.78049
0.32961,0.57255
0.07325,0.01404
0.25233,0.86709
0.08623,0.02802
0.23084,0.20133
0.46113,0.96741
0.0324,0.09723
0.02444,0.05855
0.15519,0.09967
0.03277,0.09021
0.25513,0.11823
0.59363,2.05252
0.01567,-0.21627
0.02569,-0.00273
0.58324,1.77105
0.33761,0.54446
0.61081,1.97168
0.49195,1.15084
0.17533,0.13326
0.31544,0.43647
0.04363,0.09013
0.00991,-0.14818
0.43292,0.82188
0.20851,0.17434
0.02676,-0.01397
0.61772,2.29999
0.3589,0.71818
0.56071,1.74536
0.26757,0.30656
0.03847,0.03204
0.04383,0.06987
0.2756,0.6669
0.58796,1.61432
0.06877,-0.29495
0.03742,0.06986
0.35849,1.11418
0.01711,-0.00558
0.28916,0.6671
0.03187,0.02204
0.31953,0.46984
0.20243,0.16501
0.54474,1.49771
0.52871,1.47448
0.27089,0.38749
0.37733,0.47564
0.57931,1.886
0.02859,0.05171
0.17791,0.02176
0.10339,-0.05214
0.35604,0.72215
0.03289,-0.08743
0.28554,0.41703
0.04608,0.05964
0.07805,-0.18369
0.23884,0.37116
0.43618,1.13713
0.16162,0.01521
0.35576,0.66011
0.14753,0.12347
0.57779,1.8962
0.1527,-0.04239
0.03955,0.07249
0.52784,1.62011
0.2703,0.15117
0.12215,0.13578
0.05211,0.08901
0.4714,0.9125
0.5362,1.50857
0.13059,0.04985
0.0432,0.08741
0.40863,1.01804
0.11071,0.09412
0.67162,2.58388
0.33186,1.29552
0.03466,0.09023
0.02927,-0.10759
0.42664,0.86688
0.1299,0.01835
0.12744,0.05565
0.18414,0.13819
0.64787,1.99038
0.08506,-0.13608
0.52,1.37646
0.05709,-0.18715
0.03186,0.07616
0.18372,-0.06293
0.3224,0.43639
0.59278,2.0871
0.05131,0.09349
0.63457,2.31326
0.50551,1.03702
0.03617,0.05717
0.16357,0.00498
0.49088,1.06699
0.6613,1.57182
0.06397,-0.13686
0.54802,1.51224
0.45377,1.24353
0.03957,-0.10098
0.59051,1.68781
0.35671,0.51646
0.50685,1.24573
0.06568,0.10584
0.10889,-0.08757
0.18444,0.00627
0.3757,0.7438
-0.13134,-0.26559
0.02715,-0.10691
0.34081,0.64824
0.02989,0.05718
0.2457,-0.024
0.17864,0.18656
0.12932,0.1331
0.24052,0.09077
0.10219,-0.05643
0.59799,1.9553
0.11428,-0.01041
0.66734,2.56971
0.11619,-0.01102
0.35153,0.52341
0.62003,2.08853
0.56625,1.52139
0.19769,0.39542
0.49916,1.15679
0.55307,1.72328
0.54569,1.86951
0.02766,-0.09043
0.12963,0.01623
0.60908,2.01763
0.03358,0.08107
0.42378,0.99596
0.32126,0.94839
0.0464,0.01593
0.147,-0.01551
0.58494,1.80371
0.43788,1.12803
-0.03231,-0.24169
0.33075,0.44916
0.21972,0.10703
0.04128,0.04121
0.62265,1.92683
0.03569,-0.1831
0.08409,-0.06594
0.5371,1.42585
0.388,0.7663
0.44652,1.28982
0.03711,0.07895
0.46535,0.93411
0.54944,1.39633
0.04099,-0.00866
0.16418,0.10736
0.02688,-0.07575
0.22718,0.27486
0.39182,0.77606
0.50184,1.48245
0.52166,1.52754
0.25041,0.10816
0.07406,0.02265
0.17207,0.05167
0.04342,0.09406
0.61614,1.9
0.30666,0.53114
0.26917,0.2787
0.05723,-0.27908
0.58465,1.771
0.05416,0.09492
0.55545,1.98869
0.19929,0.17054
0.12435,0.09367
0.02347,0.0836
0.46288,0.91072
0.54296,1.45583
0.59876,2.2181
0.06608,-0.22572
0.16083,0.12845
0.06036,0.09581
0.45403,0.96745
-0.06418,-0.18451
0.37582,0.59141
0.05399,0.08915
0.17608,0.13324
0.06916,0.08087
0.06201,-0.10013
0.32804,0.94338
0.34878,0.62147
0.37496,1.0479
0.23759,0.24907
0.547,1.93216
0.20071,0.16125
0.05066,0.09536
0.22191,0.27967
0.05005,0.09126
0.40317,0.81795
0.14355,0.13468
0.6473,2.47454
0.06519,0.05989
0.57801,2.00604
0.04125,0.02273
0.03403,0.1004
0.27732,0.22681
0.50608,1.40228
0.23588,0.22585
0.48065,1.16072
0.33441,0.30003
0.15184,-0.10894
0.03689,-0.00515
0.54476,1.50909
0.51949,1.49846
0.5482,1.4889
0.19184,0.00963
0.25115,0.34509
0.32612,0.51133
0.08137,-0.23944
0.15062,0.0885
0.51546,1.56975
0.11617,-0.00101
0.52901,1.57418
0.07912,-0.17215
0.52404,1.36643
0.02974,-0.0421
0.18162,0.41311
0.06122,-0.16451
0.51699,1.20935
0.56345,1.90769
0.19443,0.15918
0.62248,1.57505
0.03348,0.06401
0.0334,0.08206
0.06795,0.04698
0.15802,-0.03436
0.59415,1.9329
0.55766,1.83983
0.68243,2.60692
0.03953,0.08827
0.59951,2.0092
0.10209,0.00944
0.0454,0.09814
0.08511,0.0691
0.0331,0.07753
0.04667,0.09933
0.35097,0.73628
0.15789,0.06595
0.43996,1.00352
0.17733,0.30106
0.57434,1.47486
0.06094,-0.26347
0.43812,0.99535
0.65497,2.32572
0.02502,-0.12094
0.04114,-0.25417
0.03559,0.00455
0.03142,0.05977
0.4785,1.31303
0.0412,0.0896
0.03674,0.07692
0.03819,0.10151
0.02805,0.04553
0.20724,0.01438
0.20275,-0.02492
0.03326,-0.10513
0.53413,1.6731
0.04325,0.09118
0.03085,-0.10459
0.32052,0.5508
0.11054,-0.01484
0.60423,1.5533
0.0271,0.05167
0.32085,0.37078
0.43357,1.05823
0.40095,0.82912
0.36955,0.6263
0.63457,2.37306
0.57605,1.57954
0.12991,-0.20518
0.56339,1.67995
0.34631,0.68228
0.54279,1.79219
0.61644,2.32821
0.26458,0.11072
0.39082,0.92458
0.26209,0.34658
0.12281,0.01311
0.02867,0.05104
0.02471,0.00947
0.01259,-0.18331
0.08821,-0.11291
0.58763,1.82128
-0.11853,-0.26801
0.53639,1.53039
0.25533,0.09173
0.17991,0.1687
-0.00861,-0.18934
0.54116,1.47846
0.03983,0.06514
0.07735,-0.18274
0.17478,0.13308
0.6195,2.22754
0.32713,0.52343
0.34557,0.5303
0.03701,0.07617
0.06876,-0.26501
0.37106,0.43022
0.03092,0.05252
0.16696,-0.06106
0.53162,1.50637
0.57522,1.48937
0.39038,0.59356
0.5178,1.70382
0.41171,1.18675
0.25103,0.16829
0.33762,0.29972
0.58487,1.81652
0.56062,1.68726
0.22552,0.18687
0.04777,-0.18503
0.50662,1.21999
0.26049,0.15176
0.38779,0.94852
0.66155,2.58767
-0.10062,-0.16976
0.34309,0.6434
0.25949,0.19863
0.64887,1.68351
0.1324,-0.06313
0.42287,1.04782
0.51186,1.36595
0.61132,2.133
0.6309,2.40423
0.15895,0.04744
0.04562,0.09671
0.64506,2.16283
0.04377,0.09123
0.03107,0.03944
0.46098,0.96473
-0.04444,-0.21529
0.26647,0.22843
0.0409,0.07199
0.11947,0.09389
0.04462,-0.00154
0.02586,0.06953
0.03725,0.07845
0.04866,0.04313
0.04554,0.09126
0.32513,0.40753
0.08169,-0.11429
